vname,vimg,vurl
Pete's Dragon (2016),http://images.losmovies.club/movie/petes_dragon_2016.jpg,lmv:tt91692/watch-online-petes-dragon|zmv:petes-dragon-2016|etv:76088
Inferno (2016),http://images.losmovies.club/movie/inferno_2016.jpg,zmv:inferno-2016|lmv:tt94861/watch-online-inferno|etv:76249
Origin of Evil (2016),http://images.losmovies.club/movie/ouija_origin_of_evil_2016.jpg,lmv:tt94982/watch-online-ouija-origin-of-evil|zmv:ouija-origin-of-evil-2016|etv:75984
The Accountant (2016),http://images.losmovies.club/movie/the_accountant_2016.jpg,zmv:the-accountant-2016|lmv:tt95037/watch-online-the-accountant|etv:76302
Arrival (2016),http://images.losmovies.club/movie/arrival_2016.jpg,lmv:tt95402/watch-online-arrival|zmv:arrival-2016
Dog Eat Dog (2016),http://images.losmovies.club/movie/dog_eat_dog_2016.jpg,lmv:tt95302/watch-online-dog-eat-dog|zmv:dog-eat-dog-2016
Suicide Squad (2016),http://images.losmovies.club/movie/suicide_squad_2016.jpg,lmv:tt91628/watch-online-suicide-squad|zmv:suicide-squad-2016
Sully (2016),http://images.losmovies.club/movie/sully_2016.jpg,lmv:tt91944/watch-online-sully|zmv:sully-2016|lmv:tt91944/watch-online-sully|etv:76232
Independence Day: Resurgence (2016),http://images.losmovies.club/movie/independence_day_resurgence_2016.jpg,lmv:tt90969/watch-online-independence-day-resurgence|zmv:independence-day-resurgence-2016
Skiptrace,http://images.losmovies.club/movie/skiptrace_2016.jpg,lmv:tt91488/watch-online-skiptrace
League of Gods,http://images.losmovies.club/movie/league_of_gods_2016.jpg,lmv:tt91662/watch-online-league-of-gods
The Infiltrator,http://images.losmovies.club/movie/the_infiltrator_2016.jpg,lmv:tt93712/watch-online-the-infiltrator|dnv:StuSzw7P%2f2U%3d
Wild Oats (2016),http://images.losmovies.club/movie/wild_oats_2016.jpg,zmv:wild-oats-2016|lmv:tt94060/watch-online-wild-oats
Deepwater Horizon (2016),http://images.losmovies.club/movie/deepwater_horizon_2016.jpg,zmv:deepwater-horizon-2016|lmv:tt94023/watch-online-deepwater-horizon
Masterminds (2016),http://www.zmovie.tw/files/movies/masterminds-2016.jpg,zmv:masterminds-2016
Storks (2016),http://images.losmovies.club/movie/storks_2016.jpg,lmv:tt93554/watch-online-storks|zmv:storks-2016
The Magnificent Seven (2016),http://images.losmovies.club/movie/the_magnificent_seven_2016.jpg,zmv:the-magnificent-seven-2016|lmv:tt92584/watch-online-the-magnificent-seven
When the Bough Breaks (2016),http://images.losmovies.club/movie/when_the_bough_breaks_2016.jpg,zmv:when-the-bough-breaks-2016|lmv:tt92546/watch-online-when-the-bough-breaks
Standing Tall (2015),http://images.losmovies.club/movie/standing_tall_2015.jpg,zmv:standing-tall-2015|lmv:tt92621/watch-online-standing-tall
Swiss Army Man (2016),http://14tv.com/upload/2016-09-24/52dd91a0-1e70-49fe-ae5d-7cb2bd92ee01.jpg,etv:75499|zmv:swiss-army-man-2016|lmv:tt92420/watch-online-swiss-army-man|dnv:SeAavPVRKsE%3d
Blair Witch (2016),http://images.losmovies.club/movie/blair_witch_2016.jpg,zmv:blair-witch-2016|lmv:tt92402/watch-online-blair-witch
Snowden (2016),http://images.losmovies.club/movie/snowden_2016.jpg,etc:utb-Trailer/X41bfQa7xFQ|zmv:snowden-2016|lmv:tt92543/watch-online-snowden
I.T. (2016),http://images.losmovies.club/movie/it_2016.jpg,lmv:tt92404/watch-online-it|zmv:it-2016
Hunt for the Wilderpeople (2016),http://www.zmovie.tw/files/movies/hunt-for-the-wilderpeople-2016.jpg,zmv:hunt-for-the-wilderpeople-2016
Train to Busan (2016),http://14tv.com/upload/2016-09-11/19f8cafb-f083-453a-b3df-3b28af9fa62f.jpg,etv:74318|zmv:train-to-busan-2016
USS Indianapolis: Men of Courage (2016),http://images.losmovies.club/movie/uss_indianapolis_men_of_courage_2016.jpg,etc:utb-預告/eSTC6nnbaRo|lmv:tt91938/watch-online-uss-indianapolis-men-of-courage|zmv:uss-indianapolis-men-of-courage-2016
Kubo and the Two Strings (2016),http://www.zmovie.tw/files/movies/kubo-and-the-two-strings-2016.jpg,zmv:kubo-and-the-two-strings-2016
Cafe Society (2016),http://www.zmovie.tw/files/movies/cafe-society-2016.jpg,zmv:cafe-society-2016
Ithaca (2015),http://www.zmovie.tw/files/movies/ithaca-2015.jpg,zmv:ithaca-2015
Morgan (2016),http://images.losmovies.club/movie/morgan_2016.jpg,lmv:tt91915/watch-online-morgan|zmv:morgan-2016
Kickboxer: Vengeance (2016),http://14tv.com/upload/2016-09-04/3245ee5f-546c-42be-9715-8a01bc327ac4.jpg,etv:73874|zmv:kickboxer-vengeance-2016
Florence Foster Jenkins (2016),http://www.zmovie.tw/files/movies/florence-foster-jenkins-2016.jpg,zmv:florence-foster-jenkins-2016
The Neon Demon (2016),http://www.zmovie.tw/files/movies/the-neon-demon-2016.jpg,zmv:the-neon-demon-2016
Our Kind of Traitor (2016),http://www.zmovie.tw/files/movies/our-kind-of-traitor-2016.jpg,zmv:our-kind-of-traitor-2016
The Sea of Trees (2015),http://www.zmovie.tw/files/movies/the-sea-of-trees-2015.jpg,zmv:the-sea-of-trees-2015
Blood Father (2016),http://www.zmovie.tw/files/movies/blood-father-2016.jpg,zmv:blood-father-2016
War Dogs (2016),http://www.zmovie.tw/files/movies/war-dogs-2016.jpg,zmv:war-dogs-2016
Sultan (2016),http://www.zmovie.tw/files/movies/sultan-2016.jpg,zmv:sultan-2016
Genius (2016),http://www.zmovie.tw/files/movies/genius-2016.jpg,zmv:genius-2016
Nine Lives (2016),http://www.zmovie.tw/files/movies/nine-lives-2016.jpg,zmv:nine-lives-2016
Mike and Dave Need Wedding Dates (2016),http://www.zmovie.tw/files/movies/mike-and-dave-need-wedding-dates-2016.jpg,zmv:mike-and-dave-need-wedding-dates-2016
Ben-Hur (2016),http://www.zmovie.tw/files/movies/ben-hur-2016.jpg,zmv:ben-hur-2016
Nerve (2016),http://www.zmovie.tw/files/movies/nerve-2016.jpg,zmv:nerve-2016
Sausage Party (2016),http://www.zmovie.tw/files/movies/sausage-party-2016.jpg,zmv:sausage-party-2016
The Whole Truth (2016),http://www.zmovie.tw/files/movies/the-whole-truth-2016.jpg,zmv:the-whole-truth-2016
Five Nights in Maine (2015),http://www.zmovie.tw/files/movies/five-nights-in-maine-2015.jpg,zmv:five-nights-in-maine-2015
Ratchet & Clank (2016),http://www.zmovie.tw/files/movies/ratchet-clank-2016.jpg,zmv:ratchet-clank-2016
Bad Moms (2016),http://www.zmovie.tw/files/movies/bad-moms-2016.jpg,zmv:bad-moms-2016
Lights Out (2016),http://www.zmovie.tw/files/movies/lights-out-2016.jpg,zmv:lights-out-2016|dnv:JVeLv9kBXcU%3d
Jason Bourne (2016),http://14tv.com/upload/2016-08-05/90b93857-f0f5-44ea-a449-84082a85e3ec.jpg,etv:73874|zmv:jason-bourne-2016
A Hologram for the King (2016),http://www.zmovie.tw/files/movies/a-hologram-for-the-king-2016.jpg,zmv:a-hologram-for-the-king-2016
Mechanic: Resurrection (2016),http://www.zmovie.tw/files/movies/mechanic-resurrection-2016.jpg,zmv:mechanic-resurrection-2016
Star Trek Beyond (2016),http://www.zmovie.tw/files/movies/star-trek-beyond-2016.jpg,zmv:star-trek-beyond-2016
Ghostbusters (2016),http://www.zmovie.tw/files/movies/ghostbusters-2016.jpg,zmv:ghostbusters-2016|dnv:gbDfN1LjFGU%3d
The Secret Life of Pets (2016),http://www.zmovie.tw/files/movies/the-secret-life-of-pets-2016.jpg,zmv:the-secret-life-of-pets-2016
Free State of Jones (2016),http://www.zmovie.tw/files/movies/free-state-of-jones-2016.jpg,zmv:free-state-of-jones-2016|dnv:CQTaaEhzwJ4%3d
Ice Age: Collision Course (2016),http://www.zmovie.tw/files/movies/ice-age-collision-course-2016.jpg,zmv:ice-age-collision-course-2016
The Purge: Election Year (2016),http://www.zmovie.tw/files/movies/the-purge-election-year-2016.jpg,zmv:the-purge-election-year-2016
The BFG (2016),http://www.zmovie.tw/files/movies/the-bfg-2016.jpg,zmv:the-bfg-2016
Elvis & Nixon (2016),http://www.zmovie.tw/files/movies/elvis-nixon-2016.jpg,zmv:elvis-nixon-2016
The Legend of Tarzan (2016),http://www.zmovie.tw/files/movies/the-legend-of-tarzan-2016.jpg,zmv:the-legend-of-tarzan-2016
The Perfect Match (2016),http://www.zmovie.tw/files/movies/the-perfect-match-2016.jpg,zmv:the-perfect-match-2016
Me Before You (2016),http://www.zmovie.tw/files/movies/me-before-you-2016.jpg,zmv:me-before-you-2016
Marauders (2016),http://www.zmovie.tw/files/movies/marauders-2016.jpg,zmv:marauders-2016
The Shallows (2016),http://www.zmovie.tw/files/movies/the-shallows-2016.jpg,zmv:the-shallows-2016
Central Intelligence (2016),http://www.zmovie.tw/files/movies/central-intelligence-2016.jpg,zmv:central-intelligence-2016
Everybody Wants Some!! (2016),http://www.zmovie.tw/files/movies/everybody-wants-some-2016.jpg,zmv:everybody-wants-some-2016
Demolition (2015),http://www.zmovie.tw/files/movies/demolition-2015.jpg,zmv:demolition-2015
Finding Dory (2016),http://www.zmovie.tw/files/movies/finding-dory-2016.jpg,zmv:finding-dory-2016
Adventures in Babysitting (2016),http://www.zmovie.tw/files/movies/adventures-in-babysitting-2016.jpg,zmv:adventures-in-babysitting-2016
Popstar: Never Stop Never Stopping (2016),http://www.zmovie.tw/files/movies/popstar-never-stop-never-stopping-2016.jpg,zmv:popstar-never-stop-never-stopping-2016
Now You See Me 2 (2016),http://www.zmovie.tw/files/movies/now-you-see-me-2-2016.jpg,zmv:now-you-see-me-2-2016
Whiskey Tango Foxtrot (2016),http://www.zmovie.tw/files/movies/whiskey-tango-foxtrot-2016.jpg,zmv:whiskey-tango-foxtrot-2016
The Nice Guys (2016),http://www.zmovie.tw/files/movies/the-nice-guys-2016.jpg,zmv:the-nice-guys-2016
The Conjuring 2 (2016),http://www.zmovie.tw/files/movies/the-conjuring-2-2016.jpg,zmv:the-conjuring-2-2016
Cell (2016),http://www.zmovie.tw/files/movies/cell-2016.jpg,zmv:cell-2016
Blackway (2015),http://www.zmovie.tw/files/movies/blackway-2015.jpg,zmv:blackway-2015
Warcraft (2016),http://www.zmovie.tw/files/movies/warcraft-2016.jpg,zmv:warcraft-2016
Teenage Mutant Ninja Turtles: Out of the Shadows (2016),http://www.zmovie.tw/files/movies/teenage-mutant-ninja-turtles-out-of-the-shadows-2016.jpg,zmv:teenage-mutant-ninja-turtles-out-of-the-shadows-2016
Approaching the Unknown (2016),http://www.zmovie.tw/files/movies/approaching-the-unknown-2016.jpg,zmv:approaching-the-unknown-2016
Money Monster (2016),http://www.zmovie.tw/files/movies/money-monster-2016.jpg,zmv:money-monster-2016
Alice Through the Looking Glass (2016),http://www.zmovie.tw/files/movies/alice-through-the-looking-glass-2016.jpg,zmv:alice-through-the-looking-glass-2016
The Do-Over (2016),http://www.zmovie.tw/files/movies/the-do-over-2016.jpg,zmv:the-do-over-2016
The Darkness (2016),http://www.zmovie.tw/files/movies/the-darkness-2016.jpg,zmv:the-darkness-2016
Keanu (2016),http://www.zmovie.tw/files/movies/keanu-2016.jpg,zmv:keanu-2016
Angry Birds (2016),http://www.zmovie.tw/files/movies/angry-birds-2016.jpg,zmv:angry-birds-2016
The Young Messiah (2016),http://www.zmovie.tw/files/movies/the-young-messiah-2016.jpg,zmv:the-young-messiah-2016
The Brothers Grimsby (2016),http://www.zmovie.tw/files/movies/the-brothers-grimsby-2016.jpg,zmv:the-brothers-grimsby-2016
X-Men: Apocalypse (2016),http://www.zmovie.tw/files/movies/x-men-apocalypse-2016.jpg,zmv:x-men-apocalypse-2016
Neighbors 2: Sorority Rising (2016),http://www.zmovie.tw/files/movies/neighbors-2-sorority-rising-2016.jpg,zmv:neighbors-2-sorority-rising-2016
Life on the Line (2015),http://www.zmovie.tw/files/movies/life-on-the-line-2015.jpg,zmv:life-on-the-line-2015
Race (2016),http://www.zmovie.tw/files/movies/race-2016.jpg,zmv:race-2016
Meet the Blacks (2016),http://www.zmovie.tw/files/movies/meet-the-blacks-2016.jpg,zmv:meet-the-blacks-2016
绝地逃亡,http://static.dnvod.eu/upload/video/201608171427082704352s.gif,etv:73734|lmv:tt91488/watch-online-skiptrace|zmv:skiptrace-2016
寒战2,http://img31.mtime.cn/mg/2016/06/21/103139.45623645_270X405X4.jpg,etv:74039|zmv:cold-war-ii-2016
鬼關燈,http://images.losmovies.io/movie/lights_out_2016.jpg,lmv:tt91511/watch-online-lights-out|zmv:lights-out-2016
自杀小队,http://images.losmovies.io/movie/suicide_squad_2016.jpg,etv:74037|lmv:tt91628/watch-online-suicide-squad|zmv:suicide-squad-2016
星际迷航3,http://images.losmovies.io/movie/star_trek_beyond_2016.jpg,etc:utb-預告/UmkIV4QT6c4|lmv:tt91442/watch-online-star-trek-beyond|zmv:star-trek-beyond-2016
PELE,http://14tv.com/upload/2016-08-08/170c085f-5a09-4f37-9da4-c2aca8be8ad4.jpg,etc:utb-預告/XBrfxHOXsDE|etv:73953|zmv:pele-birth-of-a-legend-2016
残屋尸骸,http://images.losmovies.io/movie/the_remains_2016.jpg,etc:utb-預告/8J3Z8hLpmy0|etv:73952,,etc:|lmv:tt91614/watch-online-the-remains|zmv:the-remains-2016
封神传奇,http://14tv.com/upload/2016-07-30/2bcfae43-1686-48cb-8782-03ecf6bd5adc.jpg,etc:utb-預告/HTjKdsX270g|etv:73817
盗墓笔记,http://static.dnvod.eu/upload/video/201608051332093243808s.gif,etc:utb-預告/aqG6osXXwnM|etv:73875
谍影重重5,http://14tv.com/upload/2016-08-05/90b93857-f0f5-44ea-a449-84082a85e3ec.jpg,etc:utb-預告/POIi4qtLLOI|etv:73874|lmv:tt91491/watch-online-jason-bourne|zmv:jason-bourne-2016
極速秒殺2,http://images.losmovies.io/movie/mechanic_resurrection_2016.jpg,etc:utb-預告/G-P3f_wDXvs|lmv:tt91484/watch-online-mechanic-resurrection|zmv:mechanic-resurrection-2016|dnv:Wn5awOxH2gI%3d
狂野生活,http://images.losmovies.io/movie/the_wild_life_2016.jpg,etc:utb-預告/KNCjU9VEuNc|etv:,,etc:|lmv:tt90733/watch-online-the-wild-life|zmv:the-wild-life-2016
鬼瞳警探,http://imgwx3.2345.com/dypcimg/img/6/58/sup174004_223x310.jpg,etc:utb-預告/hLCAkt9VLow|etc:utb/k5LBMAUKma8
魔鬼剋星,http://images.losmovies.io/movie/ghostbusters_2016.jpg,etc:utb-預告/Ro7qW_6kCy8|lmv:tt91392/watch-online-ghostbusters|zmv:ghostbusters-2016
寵物當家,http://images.losmovies.io/movie/the_secret_life_of_pets_2016.jpg,etc:utb-預告/DOZ90e6ouFI|lmv:tt80872/watch-online-the-secret-life-of-pets|zmv:the-secret-life-of-pets-2016
吹梦巨人,http://images.losmovies.io/movie/the_bfg_2016.jpg,etc:utb-預告/y1fZg0hhBX8|lmv:tt91026/watch-online-the-bfg|zmv:the-bfg-2016
X战警:天启,http://14tv.com/upload/2016-06-04/a252f555-6568-4655-9064-4c2309115483.jpg,etv:66972|lmv:tt90578/watch-online-xmen-apocalypse|zmv:x-men-apocalypse-2016
小丑镇,http://images.losmovies.io/movie/clowntown_2016.jpg,etc:utb-預告/UUS3NEsuqUk|lmv:tt91037/watch-online-clowntown|zmv:clowntown-2016
猎鬼者,http://images.losmovies.io/movie/ghosthunters_2016.jpg,lmv:tt91033/watch-online-ghosthunters
絕鯊島,http://images.losmovies.io/movie/the_shallows_2016.jpg,etc:utb-預告/jNmjiA4wkBc|lmv:tt90968/watch-online-the-shallows|zmv:the-shallows-2016
掠奪者,http://images.losmovies.io/movie/marauders_2016.jpg,mp4:gybAXiPi80Y%3d|lmv:tt90986/watch-online-marauders|zmv:marauders-2016
泰山传奇,http://images.losmovies.io/movie/the_legend_of_tarzan_2016.jpg,etc:utb-預告/SpmKuXUTIwY|lmv:tt91000/watch-online-the-legend-of-tarzan|zmv:the-legend-of-tarzan-2016
海底總動員2：多莉去哪兒,http://images.losmovies.io/movie/finding_dory_2016.jpg,etc:utb-預告/TAXZRz_j5AQ|lmv:tt90871/watch-online-finding-dory|zmv:finding-dory-2016
绿色房间,http://images.losmovies.io/movie/green_room_2015.jpg,etc:utb-預告/qFly8YqhpNY|etv:73315|lmv:tt90949/watch-online-green-room|zmv:green-room-2015
ID4星際重生,http://images.losmovies.io/movie/independence_day_resurgence_2016.jpg,etc:utb-預告/NCe_JshWOZ0|lmv:tt90969/watch-online-independence-day-resurgence|zmv:independence-day-resurgence-2016
出神入化2,https://www.cinematerial.com/media/posters/md/y5/y5htoadl.jpg,etc:utb-預告/AuEjHzOIgBE|lmv:tt90852/watch-online-now-you-see-me-2|zmv:now-you-see-me-2-2016
超脑48小时,http://images.losmovies.io/movie/criminal_2016.jpg,etc:utb-預告/JNfRQ4NBjUU|etv:73199|lmv:tt90238/watch-online-criminal|zmv:criminal-2016|etc:utb/K9m8INLqaGM
魔兽: 崛起,http://14tv.com/upload/2016-06-08/2bcfa007-f9bf-4fd1-bf75-b2dbbb3d119f.jpg,etc:utb-預告/uQ78IqAYpsc|etv:67047|lmv:tt90722/watch-online-warcraft|zmv:warcraft-2016
